Name,Department,Faculty
Elena Obukhova,Desautels Faculty of Management,Faculty of Management
Amandine Ody-Brasier,Desautels Faculty of Management,Faculty of Management
Peter (Seung Hwan) Oh,Desautels Faculty of Management,Faculty of Management
Ryan Oldham,Desautels Faculty of Management,Faculty of Management
Simon Olivier,Desautels Faculty of Management,Faculty of Management
Sena Onen Oz,Desautels Faculty of Management,Faculty of Management
Gina Page,Desautels Faculty of Management,Faculty of Management
Dan Park,Desautels Faculty of Management,Faculty of Management
Sejun Park,Desautels Faculty of Management,Faculty of Management
Paola Perez-Aleman,Desautels Faculty of Management,Faculty of Management
Michel L Pettigrew,Desautels Faculty of Management,Faculty of Management
Vito Piazza,Desautels Faculty of Management,Faculty of Management
Alain Pinsonneault,Desautels Faculty of Management,Faculty of Management
Serge Pizem,Desautels Faculty of Management,Faculty of Management
Lee Pollock,Desautels Faculty of Management,Faculty of Management
Wenyun Qin,Desautels Faculty of Management,Faculty of Management
Rima Qureshi,Desautels Faculty of Management,Faculty of Management
Harsha Rajamani,Desautels Faculty of Management,Faculty of Management
Norman Raschkowan,Desautels Faculty of Management,Faculty of Management
Saibal Ray,Desautels Faculty of Management,Faculty of Management
David Reckziegel,Desautels Faculty of Management,Faculty of Management
Wadih Renno,Desautels Faculty of Management,Faculty of Management
Jean-Nicolas Reyt,Desautels Faculty of Management,Faculty of Management
Andrew Richardson,Desautels Faculty of Management,Faculty of Management
Thomas J Rivera,Desautels Faculty of Management,Faculty of Management
George Rizk,Desautels Faculty of Management,Faculty of Management
Nadim Rizk,Desautels Faculty of Management,Faculty of Management
Claude Robillard,Desautels Faculty of Management,Faculty of Management
Yongoh Roh,Desautels Faculty of Management,Faculty of Management
Guillaume Roussellet,Desautels Faculty of Management,Faculty of Management
Arani Roy,Desautels Faculty of Management,Faculty of Management
Brian Rubineau,Desautels Faculty of Management,Faculty of Management
Monica Ruffo,Desautels Faculty of Management,Faculty of Management
Samer Saab,Desautels Faculty of Management,Faculty of Management
Abdul Rahim Saad,Desautels Faculty of Management,Faculty of Management
Jack Sadek,Desautels Faculty of Management,Faculty of Management
Samira Sakhia,Desautels Faculty of Management,Faculty of Management
David Salanic,Desautels Faculty of Management,Faculty of Management
Salim Samaha,Desautels Faculty of Management,Faculty of Management
Emine Sarigollu,Desautels Faculty of Management,Faculty of Management
Sergei Sarkissian,Desautels Faculty of Management,Faculty of Management
Avinash Sarwal,Desautels Faculty of Management,Faculty of Management
David Saunders,Desautels Faculty of Management,Faculty of Management
Michael Saxe,Desautels Faculty of Management,Faculty of Management
Rebecca Schechter,Desautels Faculty of Management,Faculty of Management
Mitchell Scherzer,Desautels Faculty of Management,Faculty of Management
David Schumacher,Desautels Faculty of Management,Faculty of Management
Julia Scott,Desautels Faculty of Management,Faculty of Management
Jim Seethram,Desautels Faculty of Management,Faculty of Management
Pedro Seguel,Desautels Faculty of Management,Faculty of Management
Juan Camilo Serpa,Desautels Faculty of Management,Faculty of Management
Ian Shaffer,Desautels Faculty of Management,Faculty of Management
Andrew Sheiner,Desautels Faculty of Management,Faculty of Management
Dongliang Sheng,Desautels Faculty of Management,Faculty of Management
Tianfeng Shi,Desautels Faculty of Management,Faculty of Management
Takumi Shimizu,Desautels Faculty of Management,Faculty of Management
Taweewan Sidthidet,Desautels Faculty of Management,Faculty of Management
